receiving_rate,received_packets_num,received_bytes,queuing_delay,delay,mini_seen_delay,delay_ratio,delay_avg_mini_diff,pkt_received_interval,pkt_received_jitter,pkt_loss_ratio,pkt_loss_num
5570933.333333334,36,41782,1.6925518329326934,20.69236682011531,18.999814987182617,1.0890688767138097,1.6923134143535905,3.388888306087918,6.379782284979265,0.0,0
8324800.0,53,62436,2.0001956394740503,21.000010626656668,18.999814987182617,1.105260610493256,1.9999572208949483,1.8867951519084425,2.952563415270792,0.0,0
8997066.666666668,56,67478,2.2859743663242895,21.285789353506907,18.999814987182617,1.1203015538394248,2.2857359477451884,1.8214285373687744,2.6430464727429768,0.0,0
4881866.666666667,31,36614,1.0004043579101562,20.000219345092773,18.999814987182617,1.0000119209403238,0.0002384185791015625,3.161291922292402,5.477823927219596,0.0,0
4665333.333333334,30,34990,1.714468002319336,20.714282989501953,18.999814987182617,1.0902223560708728,1.7142295837402344,3.366669019063314,6.456657441202867,0.0,0
8359333.333333334,52,62695,0.7502138614654541,19.75002884864807,18.999814987182617,1.0394853245661366,0.7502138614654541,1.9230796740605283,1.4531220982363142,0.0,0
8339066.666666667,53,62543,1.1252164840698242,20.12503147125244,18.999814987182617,1.059222496894254,1.1252164840698242,1.886790653444686,1.489188514176699,0.0,0
1155066.6666666667,8,8663,1.1252164840698242,20.12503147125244,18.999814987182617,1,0,10.125011205673218,14.25725223967364,0.0,0
9558800.0,60,71691,1.5002012252807617,20.50001621246338,18.999814987182617,1.0789451889775636,1.4999628067016608,1.7166694005330405,1.1363319403247338,0.0,0
3843333.3333333335,25,28825,1.2502670288085938,20.25008201599121,18.999814987182617,1.0657907945590523,1.2500286102294922,4.44000244140625,7.08922780107837,0.0,0
3996400.0,26,29973,1.3335280948215065,20.333343082004124,18.999814987182617,1.0701729436106788,1.3332896762424038,4.65384813455435,7.807419266148715,0.0,0
9829733.333333334,62,73723,1.4617443084716797,20.461559295654297,18.999814987182617,1.0769211464136927,1.4615058898925781,1.661292968257781,1.0703421057648235,0.0,0
10721733.333333334,67,80413,1.8183968283913359,20.818211815573953,18.999814987182617,1.095706028170171,1.8183968283913345,1.58209231362414,1.2204066326635465,0.0,0
10431333.333333334,66,78235,1.5456242994828635,20.54543928666548,18.999814987182617,1.0813494394827292,1.5456242994828644,1.4848492362282493,0.8985812205448258,0.0,0
10940800.0,69,82056,1.833498477935791,20.833313465118408,18.999814987182617,1.0965008595700896,1.833498477935791,1.4782608419224836,0.9173106026065444,0.0,0
7734533.333333334,49,58009,1.8001556396484375,20.799970626831055,18.999814987182617,1.0947322190433166,1.7999172210693346,2.0000010120625396,2.1889809663621227,0.0,0
6696666.666666667,42,50225,1.4002323150634766,20.400047302246094,18.999814987182617,1.073683682176379,1.399993896484375,2.404763585045224,3.4504305984621895,0.0,0
8272800.0,53,62046,1.00022554397583,20.000040531158447,18.999814987182617,1.0526307534005923,0.9999871253967285,1.886790653444686,1.9773793455503978,0.0,0
12980800.0,82,97356,2.333541711171467,21.333356698354084,18.999814987182617,1.1228050912680485,2.3333032925923654,1.243902415764041,0.4858777302653965,0.0,0
8125200.0,51,60939,2.300238609313965,21.300053596496582,18.999814987182617,1.0650036954915003,1.3000726699829088,1.8627456590241076,2.814364377782785,0.0,0
10278800.0,65,77091,2.454736016013406,21.454551003196023,18.999814987182617,1.1291837209620676,2.4544975974343033,1.5538472395676832,1.2251453510703647,0.0,0
6668000.0,43,50010,1.1430808476039331,20.14289583478655,18.999814987182617,1.0601494324578196,1.1428424290248311,2.441860908685728,3.965943179607182,0.0,0
6071866.666666667,38,45539,2.0771393409142114,21.07695432809683,18.999814987182617,1.1093102676072109,2.0769009223351107,2.7368445145456413,7.621763801835805,0.0,0
11514533.333333334,73,86359,3.250221411387127,22.250036398569744,18.999814987182617,1.1710512556676538,3.2499829928080253,1.3835593445660317,0.8600705883162851,0.0,0
8038000.0,51,60285,3.50034236907959,22.500157356262207,18.999814987182617,1.0227309672175562,0.5000829696655273,1.8039217182234222,2.5061512475072028,0.0,0
8372933.333333334,53,62797,1.750171184539795,20.749986171722412,18.999814987182617,1.0921151698435205,1.750171184539795,1.886790653444686,2.6360128374525083,0.0,0
6843600.0,43,51327,1.0001999991280677,20.000014986310685,18.999814987182617,1.0526426178256372,1.0001999991280688,2.488374710083008,3.9241101098818376,0.0,0
5554933.333333334,37,41662,2.0835598309834786,21.083374818166096,18.999814987182617,1.1096481871873378,2.083321412404377,3.21622152586241,6.232269591020073,0.0,0
7769733.333333334,50,58273,3.6002397537231445,22.60005474090576,18.999814987182617,1.076185556476425,1.5999078750610352,2.000002861022949,3.386637180983299,0.0,0
4979200.0,33,37344,3.6002397537231445,22.60005474090576,18.999814987182617,1,0,2.6060595656886245,5.080217558125803,0.0,0
4970266.666666667,32,37277,0.000476837158203125,19.00029182434082,18.999814987182617,1.0000125483109974,0.0002384185791015625,3.2187476754188538,5.8790796195637185,0.0,0
11381066.666666668,72,85358,1.5557871924506266,20.555602179633244,18.999814987182617,1.081884333794838,1.555787192450628,1.3888908757103815,0.8484480643260173,0.0,0
